EventId,EventTemplate,Occurrences
bb1a070b,Instance failed block device setup nova.exception.VolumeNotCreated Volume <*> did not finish being created even after we waited 0 seconds or 1 attempts. And its status is error.,2
60851697,Failed to build and run instance libvirt.libvirtError internal error process exited while connecting to monitor 2021-04-17T12 <*> <*> qemu-system-x86_64 terminating on signal 15 from pid 1259 (/usr/sbin/libvirtd),2
c693eaa4,<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> to <*>,2
28f25744,<*> service nova] Neutron deleted interface <*> detaching it from the instance and deleting it from the info cache,652
bfe5aa42,internal error qemu unexpectedly closed the monitor <*> <*> <*> qemu-system-x86_64 terminating on signal 15 from pid <*> (/usr/sbin/libvirtd),3
8f02c8ec,Instance failed to spawn nova.exception.FlavorDiskSmallerThanImage Flavor's disk is too small for requested image. Flavor disk is 1073741824 bytes image is 2147483648 bytes.,1
d10ad2a9,Instance shutdown by itself. Calling the stop API. Current vm_state active current task_state None original DB power_state <*> current VM power_state 4,43
2210d1ed,Instance shutdown by itself. Calling the stop API. Current vm_state active current task_state powering-off original DB power_state 1 current VM power_state 4,1
2c621366,Failed to <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> monitor <*> <*> <*> qemu-system-x86_64 terminating on signal 15 from pid <*> (/usr/sbin/libvirtd),26
0e525b33,Successfully plugged vif VIFOpenVSwitch(active False address fa 16 3e <*> <*> <*> bridge_name 'br-int' has_traffic_filtering True id <*> network <*> plugin 'ovs' port_profile VIFPortProfileOpenVSwitch preserve_on_delete False vif_name <*>,102
93af6abe,Successfully unplugged vif VIFOpenVSwitch(active False address fa 16 3e <*> <*> <*> bridge_name 'br-int' has_traffic_filtering True id <*> network <*> plugin 'ovs' port_profile VIFPortProfileOpenVSwitch preserve_on_delete False vif_name <*>,276
53c7b896,Error from libvirt while getting description of <*> [Error Code 42] Domain not found no domain with matching uuid <*> <*> libvirt.libvirtError Domain not found no domain with matching uuid <*> <*>,83
2368ba13,Creating image,1159
ce0cacf4,Terminating instance,1196
a8aa69bb,startup startup),2
b08be380,<*> failed'),2
a638b27e,meth(*args **kwargs),2
16f606dc,e tb),1
04d3f634,tcp 6640 send error Broken pipe,1
b613a656,tcp 6640 connection dropped (Broken pipe),1
b72f57b7,privsep process running with capabilities <*>,7
62c77ac0,privsep daemon running as pid <*>,7
6fe26443,[-] privsep process running with uid0/0,2
d87f5f7e,[-] [-] Successfully <*> vif VIFOpenVSwitch,4
0c0dde5a,[-] privsep process running with capabilities <*>,2
dc45600b,[-] privsep daemon running as pid <*>,2
b048663e,Instance failed to spawn nova.exception.VirtualInterfaceCreateException Virtual Interface creation failed,69
54a4aae1,Failed to allocate network(s) nova.exception.VirtualInterfaceCreateException Virtual Interface creation failed,69
2119e4bd,Running privsep helper ['sudo' 'nova-rootwrap' ''privsep-helper' '--config-file' ''--privsep_context' 'nova.privsep.sys_admin_pctxt' '--privsep_sock_path' '/tmp/tmpzig2myee/privsep.sock'],1
9acc6fa6,Running privsep helper ['sudo' 'nova-rootwrap' ''privsep-helper' '--config-file' ''--privsep_context' 'vif_plug_ovs.privsep.vif_plug' '--privsep_sock_path' '/tmp/tmp7h8w6_6v/privsep.sock'],1
43a43c9c,Received unexpected event <*> for instance with vm_state building and task_state spawning.,126
a13b51ab,Received unexpected event <*> for instance with vm_state active and task_state None.,14
d4a152da,Instance <*> has allocations against this compute host but is not found in the database.,11
95efa68f,Instance failed to spawn libvirt.libvirtError Domain not found no domain with matching uuid <*> <*>,36
e3f78b65,error during stop() in sync_power_state. nova.exception_Remote.UnexpectedTaskStateError_Remote Conflict updating instance <*> Expected {'task_state' [None]}. Actual {'task_state' 'powering-off'},21
0d9e688f,Neutron deleted interface <*> detaching it from the instance and deleting it from the info cache,35
191f4d3c,While synchronizing instance power states found <*> instances in the database and <*> instances on the hypervisor.,40
2a55e9ce,While synchronizing instance power states found 2 instances in the database and 1 instances on the hypervisor.,1
0cf2cc18,While synchronizing instance power states found 4 instances in the database and 3 instances on the hypervisor.,4
8e664a45,Instance failed to spawn libvirt.libvirtError internal error qemu unexpectedly closed the monitor 2021-04-12T17 06 49.552745Z qemu-system-x86_64 terminating on signal 15 from pid 1304 (/usr/sbin/libvirtd),1
3a2a1e9e,Instance failed to spawn libvirt.libvirtError internal error qemu unexpectedly closed the monitor 2021-04-17T12 <*> <*> qemu-system-x86_64 terminating on signal 15 from pid 1259 (/usr/sbin/libvirtd),18
7f9614ff,Failed to start libvirt guest libvirt.libvirtError internal error qemu unexpectedly closed the monitor <*> <*> <*> qemu-system-x86_64 terminating on signal 15 from pid <*> (/usr/sbin/libvirtd),29
a1cfd5a0,Instance failed to spawn libvirt.libvirtError internal error process exited while connecting to monitor 2021-04-17T12 <*> <*> qemu-system-x86_64 terminating on signal 15 from pid 1259 (/usr/sbin/libvirtd),3
